plan_id,plan_name,billing,price,currency,price_usd,served_model,monthly_tokens,monthly_yi,real_usd_per_mtok,confidence,chart_tier,source,decision_note
cursor_ultra,Cursor Ultra,subscription,200,USD,200,grok-4.6,6420000000,64.2,0.03115,medium,main,截图两行中间值+官方2×；cursor-fast-round6-2026-09-05.json；cursor-adoption-round6-2026-09-06.json,100亿→64.2亿：(30.3×2+67.8)/2；旧链：口头100→截图67.8→round5恢复100→本次用户放弃100采用64.2。high→medium：中间值而非直接实测；64.2/30.3≈2.119，非严格2×；截图跨发布促销周，双倍额度/折扣混杂未剥离；旧100亿及截图冲突证据保留
cursor_ultra_fast,Cursor Ultra (Fast),subscription,200,USD,200,grok-4.6,3030000000,30.3,0.06601,high,main,截图839.5M / 27.7%直接反推；round6用户确认维持,保持30.3亿；官方2×折回标准等效60.6亿，与标准截图67.8亿取中间值64.2亿；并非声称64.2/30.3严格等于2；截图跨促销周，保留混杂风险；见cursor-fast-round6-2026-09-05.json；与SuperGrok渠道分开
cursor_pro,Cursor Pro,subscription,20,USD,20,grok-4.6,470000000,4.7,0.04255,medium,main,Cursor 论坛面板：303.9M = 65% → 4.68 亿；另有用户口述 4~5 亿打满,保留独立面板采用4.7亿，不随Ultra中间值联动；池按compute cost计非raw token
cursor_pro_plus,Cursor Pro+,subscription,60,USD,60,grok-4.6,1712000000,17.12,0.03505,medium,full,round3面板Pro+池约$800；round6用户确认按Ultra池$3000等比,18.1亿→17.12亿：64.2×800/3000；旧18.1亿基于Ultra67.8亿，现随标准中间值重算；仍采用$3000池假设，未采$3345或旧$2000替代池；促销周混杂未剥离；见cursor-adoption-round6-2026-09-06.json
kimi_allegretto_cn,Kimi 会员 199,subscription,199,CNY,29.36,kimi-k3,1161000000,11.61,0.02529,medium,main,本机ccusage 243739068/约84%×4；kimi199-round5-swe17-2026-09-05.json,额度11.61亿不变，high→medium：占比为用户约数，样本以k3-256k为主且含kimi-for-coding，非纯K3 1M实测；SWE1.7找到V2EX/1235826短时面板，但模型/统计窗口不同，未替换基准；官方K3 1M约2×消耗，不据混合样本直接折半；ACP14.28为旧模型未采；《财经》95元/亿档位不明未采；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
kimi_moderato_cn,Kimi 会员 99,subscription,99,CNY,14.6,kimi-k3,232000000,2.32,0.06295,medium,full,199 档 × 4/20,保持2.32亿，继承199档K3-256K为主的混合负载估算，不是K3 1M纯模型实测；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
kimi_allegro_cn,Kimi 会员 699,subscription,699,CNY,103.12,kimi-k3,3483000000,34.83,0.02961,medium,full,199 档 × 60/20,保持34.83亿，继承199档K3-256K为主的混合负载估算，不是K3 1M纯模型实测；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_lite_cn_new,GLM Coding Lite (新客 ¥118),subscription,118,CNY,17.41,glm-5.3,290000000,2.9,0.06003,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 0.48～0.97 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_lite_cn_new,GLM Coding Lite (新客 ¥118),subscription,118,CNY,17.41,glm-5.3-flash,876000000,8.76,0.01987,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 1.46～2.92 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_lite_cn_old,GLM Coding Lite (老客 ¥49),subscription,49,CNY,7.23,glm-5.3,290000000,2.9,0.02493,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 0.48～0.97 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_lite_cn_old,GLM Coding Lite (老客 ¥49),subscription,49,CNY,7.23,glm-5.3-flash,876000000,8.76,0.00825,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 1.46～2.92 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_pro_cn_new,GLM Coding Pro (新客 ¥538),subscription,538,CNY,79.37,glm-5.3,1740000000,17.4,0.04561,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 2.9～5.8 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_pro_cn_new,GLM Coding Pro (新客 ¥538),subscription,538,CNY,79.37,glm-5.3-flash,5264000000,52.64,0.01508,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 8.77～17.55 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_pro_cn_old,GLM Coding Pro (老客 ¥149),subscription,149,CNY,21.98,glm-5.3,1740000000,17.4,0.01263,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 2.9～5.8 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_pro_cn_old,GLM Coding Pro (老客 ¥149),subscription,149,CNY,21.98,glm-5.3-flash,5264000000,52.64,0.00418,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 8.77～17.55 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_max_cn_new,GLM Coding Max (新客 ¥1078),subscription,1078,CNY,159.03,glm-5.3,4056000000,40.56,0.03921,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 6.76～13.52 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_max_cn_new,GLM Coding Max (新客 ¥1078),subscription,1078,CNY,159.03,glm-5.3-flash,12284000000,122.84,0.01295,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 20.47～40.95 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_max_cn_old,GLM Coding Max (老客 ¥469),subscription,469,CNY,69.19,glm-5.3,4056000000,40.56,0.01706,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 6.76～13.52 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
glm_coding_max_cn_old,GLM Coding Max (老客 ¥469),subscription,469,CNY,69.19,glm-5.3-flash,12284000000,122.84,0.00563,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 20.47～40.95 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
minimax_token_plus_cn,MiniMax Token Plan Plus,subscription,49,CNY,7.23,minimax-m3,600000000,6.0,0.01205,high,main,minimaxi.com/blog/minimax-m3 官方,汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
minimax_token_max_cn,MiniMax Token Plan Max,subscription,119,CNY,17.55,minimax-m3,1800000000,18.0,0.00975,high,full,minimaxi.com/blog/minimax-m3 官方,汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
minimax_token_ultra_cn,MiniMax Token Plan Ultra,subscription,469,CNY,69.19,minimax-m3,7100000000,71.0,0.00974,high,full,platform.minimaxi.com 迁移说明 2026-08-19,发布时 55 亿，迁移后 71 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
minimax_token_plus_global,MiniMax Token Plan Plus (Global),subscription,22,USD,22,minimax-m3,1700000000,17.0,0.01294,high,main,minimax.io/blog/minimax-m3 官方,发布时 $20，现价 $22，额度未见调整
minimax_token_max_global,MiniMax Token Plan Max (Global),subscription,55,USD,55,minimax-m3,5100000000,51.0,0.01078,high,full,minimax.io/blog/minimax-m3 官方,发布时 $50
minimax_token_ultra_global,MiniMax Token Plan Ultra (Global),subscription,132,USD,132,minimax-m3,9800000000,98.0,0.01347,high,full,minimax.io/blog/minimax-m3 官方,发布时 $120
aliyun_coding_pro_cn,阿里云百炼 Coding Plan Pro,subscription,200,CNY,29.5,qwen3.7-plus,198000000,1.98,0.14901,medium,main,《财经》2026-08 实测 ¥101/亿,档位未写明，按 ¥200 Pro 折算；旧值 30 亿作废；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
aliyun_coding_pro_global,Alibaba Cloud Coding Plan Pro,subscription,50,USD,50,qwen3.7-plus,198000000,1.98,0.25253,low,full,同 CN 档额度,
opencode_go,OpenCode Go,subscription,10,USD,10,grok-4.6,27200000,0.272,0.36765,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.279亿（请求估算）→0.272亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；≤200K 标价；>200K 价翻倍，保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,gpt-5.6-luna,534400000,5.344,0.01871,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧5.25亿（请求估算）→5.344亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；≤272K 标价；>272K 档保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,glm-5.3-flash,437800000,4.378,0.02284,high,main,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧4.44亿（请求估算）→4.378亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,glm-5.3,50100000,0.501,0.1996,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.571亿（请求估算）→0.501亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,glm-5.2,200400000,2.004,0.0499,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增2.004亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,glm-5.1,200400000,2.004,0.0499,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增2.004亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,kimi-k3,36500000,0.365,0.27397,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.381亿（请求估算）→0.365亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,kimi-k2.7-code,272800000,2.728,0.03666,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧3.785亿（请求估算）→2.728亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,kimi-k2.6,314700000,3.147,0.03178,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增3.147亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,longcat-2.0,3617000000,36.17,0.00276,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增36.17亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,mimo-v2.5,8885200000,88.852,0.00113,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增88.852亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,mimo-v2.5-pro,935500000,9.355,0.01069,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧14.196亿（请求估算）→9.355亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,minimax-m3,866700000,8.667,0.01154,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧9.072亿（请求估算）→8.667亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,minimax-m2.7,866700000,8.667,0.01154,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增8.667亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,minimax-m2.5,866700000,8.667,0.01154,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增8.667亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；价格/Endpoints 表在列；请求估算表未列。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,muse-spark-1.3-contributor,12439200000,124.392,0.0008,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增124.392亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,muse-spark-1.2-contributor,12439200000,124.392,0.0008,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增124.392亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,qwen3.8-max,48700000,0.487,0.20534,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增0.487亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,qwen3.8-flash,1462900000,14.629,0.00684,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增14.629亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,qwen3.7-max,52800000,0.528,0.18939,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增0.528亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,qwen3.7-plus,1125500000,11.255,0.00888,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧12.461亿（请求估算）→11.255亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；≤256K 标价；>256K 档保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,qwen3.6-plus,855100000,8.551,0.01169,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增8.551亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；≤256K 标价；>256K 档保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,deepseek-v4-pro,350900000,3.509,0.0285,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧4.318亿（请求估算）→3.509亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；Off-Peak；Peak 额度为其一半，保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,deepseek-v4-flash,2154800000,21.548,0.00464,high,main,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧27.224亿（请求估算）→21.548亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；Off-Peak；Peak 额度为其一半，保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,deepseek-v4-flash-vision-exp,1077400000,10.774,0.00928,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增10.774亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；Off-Peak；图像另折 input token，不另编图像 mix。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,hy4-preview,442200000,4.422,0.02261,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧4.917亿（请求估算）→4.422亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,hy3,1530600000,15.306,0.00653,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增15.306亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
opencode_go,OpenCode Go,subscription,10,USD,10,omen-alpha,1314100000,13.141,0.00761,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增13.141亿：min(共享月池$60, 模型Usage $100) ÷ MIX加权价；模型 Usage $100，但共享月池 $60 先绑定。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加"
chatgpt_plus,ChatGPT Plus,subscription,20,USD,20,gpt-5.6-terra,1201013228,12.01,0.01665,medium,full,由同套餐 gpt-5.6-sol 6.16 亿 × 1.949696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(5, 50, 300)；旧倍率2、旧月额度12.32亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
chatgpt_plus,ChatGPT Plus,subscription,20,USD,20,gpt-5.6-luna,12010132280,120.101,0.00167,medium,main,由同套餐 gpt-5.6-sol 6.16 亿 × 19.49696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(0.5, 5, 30)；旧倍率20、旧月额度123.2亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
chatgpt_plus,ChatGPT Plus,subscription,20,USD,20,gpt-5.5,480405291,4.804,0.04163,medium,main,由同套餐 gpt-5.6-sol 6.16 亿 × 0.7798787194762872,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(12.5, 125, 750)；旧倍率0.8、旧月额度4.928亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
chatgpt_pro_5x,ChatGPT Pro 5x,subscription,100,USD,100,gpt-5.6-terra,6005066140,60.051,0.01665,medium,full,由同套餐 gpt-5.6-sol 30.8 亿 × 1.949696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(5, 50, 300)；旧倍率2、旧月额度61.6亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
chatgpt_pro_5x,ChatGPT Pro 5x,subscription,100,USD,100,gpt-5.6-luna,60050661400,600.507,0.00167,medium,full,由同套餐 gpt-5.6-sol 30.8 亿 × 19.49696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(0.5, 5, 30)；旧倍率20、旧月额度616亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
chatgpt_pro_5x,ChatGPT Pro 5x,subscription,100,USD,100,gpt-5.5,2402026456,24.02,0.04163,medium,full,由同套餐 gpt-5.6-sol 30.8 亿 × 0.7798787194762872,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(12.5, 125, 750)；旧倍率0.8、旧月额度24.64亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
chatgpt_pro_20x,ChatGPT Pro 20x,subscription,200,USD,200,gpt-5.6-terra,24020264560,240.203,0.00833,medium,full,由同套餐 gpt-5.6-sol 123.2 亿 × 1.949696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(5, 50, 300)；旧倍率2、旧月额度246.4亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
chatgpt_pro_20x,ChatGPT Pro 20x,subscription,200,USD,200,gpt-5.6-luna,240202645599,2402.026,0.00083,medium,main,由同套餐 gpt-5.6-sol 123.2 亿 × 19.49696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(0.5, 5, 30)；旧倍率20、旧月额度2464亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json"
