id,plan,billing,model,model_display,vendor,label,price_usd,monthly_yi,real_usd_per_mtok,list_blended_usd_per_mtok,d,confidence,tier,source,note,arena_code__score,arena_code__variant,arena_agent_mode__score,arena_agent_mode__variant,aa_intelligence_index__score,aa_intelligence_index__variant,aa_coding_agent_index__score,aa_coding_agent_index__variant
cursor_ultra::grok-4.6,Cursor Ultra,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Ultra,200.0,77.37,0.02585,0.5515,0.0469,medium,main,两张调整后个人Ultra标准主行中间值；cursor-adoption-round8-2026-09-06.json,旧80亿→77.37亿：(用户当前平滑账号61.0M/0.9%=67.78亿 + 社区8/26图1478.2M/17%=86.95亿)/2。社区图可能有大量首周半价用量，按费用百分比反推略高；中间值不是单行直接实测，token类型分布与面板取整差异保留,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
cursor_ultra_fast::grok-4.6,Cursor Ultra (Fast),subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Ultra (Fast),200.0,30.74,0.06506,0.5515,0.118,high,main,用户当前平滑账号截图863.8M/28.1%直接反推；cursor-adoption-round8-2026-09-06.json,旧40亿→30.74亿；取最大样本xhigh-fast行直接反推，百分比取整区间30.69~30.80亿；同图较小high-fast行24.43亿不采。Standard/Fast不强制raw token严格2×，因为面板按费用扣减且token类型构成不同；官方三段费率2×事实不变；与SuperGrok渠道分开,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
cursor_pro::grok-4.6,Cursor Pro,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Pro,20.0,4.7,0.04255,0.5515,0.0772,medium,main,Cursor 论坛面板：303.9M = 65% → 4.68 亿；另有用户口述 4~5 亿打满,保留独立面板采用4.7亿，不随Ultra中间值联动；池按compute cost计非raw token,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
cursor_pro_plus::grok-4.6,Cursor Pro+,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Pro+,60.0,20.632,0.02908,0.5515,0.0527,medium,full,round3面板Pro+池约$800；按Ultra池$3000等比；cursor-adoption-round8-2026-09-06.json,旧21.33亿→20.63亿：77.37×800/3000；继承跨档池规模假设，非独立实测；未采社区图反推$4500~4800作为官方池；促销与账号差异保留,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
kimi_allegretto_cn::kimi-k3,Kimi 会员 199,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · Kimi 会员 199,29.36,11.61,0.02529,0.4095,0.0618,medium,main,本机ccusage 243739068/约84%×4；kimi199-round5-swe17-2026-09-05.json,额度11.61亿不变，high→medium：占比为用户约数，样本以k3-256k为主且含kimi-for-coding，非纯K3 1M实测；SWE1.7找到V2EX/1235826短时面板，但模型/统计窗口不同，未替换基准；官方K3 1M约2×消耗，不据混合样本直接折半；ACP14.28为旧模型未采；《财经》95元/亿档位不明未采；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
kimi_moderato_cn::kimi-k3,Kimi 会员 99,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · Kimi 会员 99,14.6,2.32,0.06295,0.4095,0.1537,medium,full,199 档 × 4/20,保持2.32亿，继承199档K3-256K为主的混合负载估算，不是K3 1M纯模型实测；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
kimi_allegro_cn::kimi-k3,Kimi 会员 699,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · Kimi 会员 699,103.12,34.83,0.02961,0.4095,0.0723,medium,full,199 档 × 60/20,保持34.83亿，继承199档K3-256K为主的混合负载估算，不是K3 1M纯模型实测；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
glm_coding_lite_cn_new::glm-5.3,GLM Coding Lite (新客 ¥118),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Lite (新客 ¥118),17.41,3.17,0.05491,0.299,0.1836,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位2.9亿→统一标准负载3.17亿；周峰时0.529亿、非峰1.058亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_lite_cn_new::glm-5.3-flash,GLM Coding Lite (新客 ¥118),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Lite (新客 ¥118),17.41,9.62,0.0181,0.0342,0.5289,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位8.76亿→统一标准负载9.62亿；周峰时1.604亿、非峰3.208亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_lite_cn_old::glm-5.3,GLM Coding Lite (老客 ¥49),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Lite (老客 ¥49),7.23,3.17,0.0228,0.299,0.0763,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位2.9亿→统一标准负载3.17亿；周峰时0.529亿、非峰1.058亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_lite_cn_old::glm-5.3-flash,GLM Coding Lite (老客 ¥49),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Lite (老客 ¥49),7.23,9.62,0.00751,0.0342,0.2194,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位8.76亿→统一标准负载9.62亿；周峰时1.604亿、非峰3.208亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_pro_cn_new::glm-5.3,GLM Coding Pro (新客 ¥538),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Pro (新客 ¥538),79.37,19.05,0.04166,0.299,0.1393,high,main,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位17.4亿→统一标准负载19.05亿；周峰时3.175亿、非峰6.350亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_pro_cn_new::glm-5.3-flash,GLM Coding Pro (新客 ¥538),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Pro (新客 ¥538),79.37,57.74,0.01375,0.0342,0.4018,high,main,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位52.64亿→统一标准负载57.74亿；周峰时9.624亿、非峰19.248亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_pro_cn_old::glm-5.3,GLM Coding Pro (老客 ¥149),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Pro (老客 ¥149),21.98,19.05,0.01154,0.299,0.0386,high,main,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位17.4亿→统一标准负载19.05亿；周峰时3.175亿、非峰6.350亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_pro_cn_old::glm-5.3-flash,GLM Coding Pro (老客 ¥149),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Pro (老客 ¥149),21.98,57.74,0.00381,0.0342,0.1113,high,main,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位52.64亿→统一标准负载57.74亿；周峰时9.624亿、非峰19.248亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_max_cn_new::glm-5.3,GLM Coding Max (新客 ¥1078),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Max (新客 ¥1078),159.03,44.45,0.03578,0.299,0.1197,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位40.56亿→统一标准负载44.45亿；周峰时7.408亿、非峰14.816亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_max_cn_new::glm-5.3-flash,GLM Coding Max (新客 ¥1078),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Max (新客 ¥1078),159.03,134.73,0.0118,0.0342,0.3448,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位122.84亿→统一标准负载134.73亿；周峰时22.456亿、非峰44.911亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_max_cn_old::glm-5.3,GLM Coding Max (老客 ¥469),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Max (老客 ¥469),69.19,44.45,0.01557,0.299,0.0521,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位40.56亿→统一标准负载44.45亿；周峰时7.408亿、非峰14.816亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_max_cn_old::glm-5.3-flash,GLM Coding Max (老客 ¥469),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Max (老客 ¥469),69.19,134.73,0.00514,0.0342,0.1502,high,full,docs.bigmodel.cn 官方周积分与三段积分系数；standard-token-mix-round1-2026-09-07.json,旧官方95%缓存表中位122.84亿→统一标准负载134.73亿；周峰时22.456亿、非峰44.911亿，取中位×4周；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
minimax_token_plus_cn::minimax-m3,MiniMax Token Plan Plus,subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Plus,7.23,6.0,0.01205,0.0691,0.1743,high,main,minimaxi.com/blog/minimax-m3 官方,汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_max_cn::minimax-m3,MiniMax Token Plan Max,subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Max,17.55,18.0,0.00975,0.0691,0.141,high,full,minimaxi.com/blog/minimax-m3 官方,汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_ultra_cn::minimax-m3,MiniMax Token Plan Ultra,subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Ultra,69.19,71.0,0.00974,0.0691,0.1409,high,full,platform.minimaxi.com 迁移说明 2026-08-19,发布时 55 亿，迁移后 71 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_plus_global::minimax-m3,MiniMax Token Plan Plus (Global),subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Plus (Global),22.0,17.0,0.01294,0.0691,0.1871,high,main,minimax.io/blog/minimax-m3 官方,发布时 $20，现价 $22，额度未见调整,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_max_global::minimax-m3,MiniMax Token Plan Max (Global),subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Max (Global),55.0,51.0,0.01078,0.0691,0.1559,high,full,minimax.io/blog/minimax-m3 官方,发布时 $50,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_ultra_global::minimax-m3,MiniMax Token Plan Ultra (Global),subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Ultra (Global),132.0,98.0,0.01347,0.0691,0.1948,high,full,minimax.io/blog/minimax-m3 官方,发布时 $120,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
aliyun_coding_pro_cn::qwen3.7-plus,阿里云百炼 Coding Plan Pro,subscription,qwen3.7-plus,Qwen3.7 Plus,Alibaba,Qwen3.7 Plus · 阿里云百炼 Coding Plan Pro,29.5,1.98,0.14901,0.0922,1.6162,medium,main,《财经》2026-08 实测 ¥101/亿,档位未写明，按 ¥200 Pro 折算；旧值 30 亿作废；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,,,-2.91,Qwen3.7 Plus,39,Qwen3.7 Plus,38.1218,Claude Code - Qwen3.7 Plus (thinking)
aliyun_coding_pro_global::qwen3.7-plus,Alibaba Cloud Coding Plan Pro,subscription,qwen3.7-plus,Qwen3.7 Plus,Alibaba,Qwen3.7 Plus · Alibaba Cloud Coding Plan Pro,50.0,1.98,0.25253,0.0922,2.7389,low,full,同 CN 档额度,,,,-2.91,Qwen3.7 Plus,39,Qwen3.7 Plus,38.1218,Claude Code - Qwen3.7 Plus (thinking)
opencode_go::grok-4.6,OpenCode Go,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · OpenCode Go,10.0,0.272,0.36765,0.5515,0.6666,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.279亿（请求估算）→0.272亿：min(共享月池$60, 模型Usage $15) ÷ 统一标准负载加权价；≤200K 标价；>200K 价翻倍，保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
opencode_go::gpt-5.6-luna,OpenCode Go,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · OpenCode Go,10.0,5.357,0.01867,0.028,0.6668,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧5.25亿（请求估算）→5.357亿：min(共享月池$60, 模型Usage $15) ÷ 统一标准负载加权价；≤272K 标价；>272K 档保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1519,gpt-5.6-luna-xhigh (codex-harness),2.15,GPT 5.6 Luna (xHigh),52,GPT-5.6 Luna (max),57.1661,Codex - GPT-5.6 Luna (max)
opencode_go::glm-5.3-flash,OpenCode Go,subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · OpenCode Go,10.0,4.383,0.02282,0.0342,0.6668,high,main,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧4.44亿（请求估算）→4.383亿：min(共享月池$60, 模型Usage $15) ÷ 统一标准负载加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
opencode_go::glm-5.3,OpenCode Go,subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · OpenCode Go,10.0,0.502,0.1992,0.299,0.6662,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.571亿（请求估算）→0.502亿：min(共享月池$60, 模型Usage $15) ÷ 统一标准负载加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
opencode_go::glm-5.2,OpenCode Go,subscription,glm-5.2,GLM 5.2,Zhipu,GLM 5.2 · OpenCode Go,10.0,2.007,0.04983,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增2.007亿：min(共享月池$60, 模型Usage $60) ÷ 统一标准负载加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::glm-5.1,OpenCode Go,subscription,glm-5.1,GLM 5.1,Zhipu,GLM 5.1 · OpenCode Go,10.0,2.007,0.04983,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增2.007亿：min(共享月池$60, 模型Usage $60) ÷ 统一标准负载加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::kimi-k3,OpenCode Go,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · OpenCode Go,10.0,0.366,0.27322,0.4095,0.6672,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.381亿（请求估算）→0.366亿：min(共享月池$60, 模型Usage $15) ÷ 统一标准负载加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
opencode_go::kimi-k2.7-code,OpenCode Go,subscription,kimi-k2.7-code,Kimi K2.7 Code,Kimi,Kimi K2.7 Code · OpenCode Go,10.0,2.731,0.03662,0.2197,0.1667,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧3.785亿（请求估算）→2.731亿：min(共享月池$60, 模型Usage $60) ÷ 统一标准负载加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1472,kimi-k2.7-code,1.24,Kimi K2.7 Code,43,Kimi K2.7 Code,,
opencode_go::kimi-k2.6,OpenCode Go,subscription,kimi-k2.6,Kimi K2.6,Kimi,Kimi K2.6 · OpenCode Go,10.0,3.151,0.03174,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增3.151亿：min(共享月池$60, 模型Usage $60) ÷ 统一标准负载加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
